time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-10T18:46:07.750Z,34.2095,-117.6091667,27.1,1.76,ml,14,168,0.2267,0.25,ci,ci37522568,2016-02-10T18:50:06.169Z,"10km NNW of Rancho Cucamonga, California",earthquake,1.16,1.98,0.294,31,automatic,ci,ci
2016-02-10T18:25:39.820Z,33.5936667,-116.8225,8.02,0.47,ml,11,162,0.04194,0.08,ci,ci37522560,2016-02-10T18:29:41.292Z,"14km WNW of Anza, California",earthquake,0.42,0.63,0.214,6,automatic,ci,ci
2016-02-10T18:01:11.560Z,34.3576667,-117.1886667,24.87,1.41,ml,12,112,0.1821,0.29,ci,ci37522552,2016-02-10T18:05:10.196Z,"12km N of Lake Arrowhead, California",earthquake,0.87,1.21,0.22,30,automatic,ci,ci
2016-02-10T17:54:22.710Z,38.8126678,-122.8261642,4.78,0.84,md,11,100,0.004465,0.1,nc,nc72588965,2016-02-10T18:24:04.115Z,"7km WNW of The Geysers, California",earthquake,0.78,1.38,0.05,4,automatic,nc,nc
2016-02-10T17:52:11.000Z,59.683,-153.1579,118,4,Ml,28,97.2,0.33327497,0.48,at,at00o2ceyz,2016-02-10T18:18:57.853Z,"75km W of Anchor Point, Alaska",earthquake,0,0,,9,reviewed,at,at
2016-02-10T17:45:26.340Z,39.8968315,-123.5039978,4.99,1.4,md,9,117,0.07334,0.03,nc,nc72588960,2016-02-10T18:12:06.081Z,"23km N of Laytonville, California",earthquake,0.39,0.79,0.06,4,automatic,nc,nc
2016-02-10T17:39:55.000Z,59.68,-153.163,114,4,Ml,33,97.2,0.33058002,0.51,at,at00o2ceej,2016-02-10T17:42:26.288Z,"75km W of Anchor Point, Alaska",earthquake,0,0,,8,reviewed,at,at
2016-02-10T17:00:04.910Z,32.4586667,-116.2888333,15.33,1.43,ml,21,180,0.2392,0.23,ci,ci37522544,2016-02-10T18:33:16.123Z,"24km SE of Campo, California",earthquake,0.57,1.52,0.211,18,reviewed,ci,ci
2016-02-10T16:54:42.680Z,-32.0921,179.9244,422.22,5,mb,,90,3.387,0.76,us,us20004zbe,2016-02-10T17:13:49.169Z,"133km WSW of L'Esperance Rock, New Zealand",earthquake,18.3,15.3,0.133,18,reviewed,us,us
2016-02-10T16:39:39.915Z,38.7416,-119.6825,8.6,1.3,ml,17,151.42,0.163,0.1166,nn,nn00530845,2016-02-10T17:12:41.273Z,"17km SSE of Gardnerville Ranchos, Nevada",earthquake,2.03,4.6,0.29,8,reviewed,nn,nn
2016-02-10T16:32:36.410Z,36.0958328,-120.1934967,9.17,2.87,md,43,147,0.0763,0.09,nc,nc72588945,2016-02-10T18:16:05.087Z,"11km NNW of Avenal, California",earthquake,0.29,0.5,0.15,57,automatic,nc,nc
2016-02-10T16:13:18.970Z,37.5736656,-118.8528366,5.01,0.95,md,11,179,0.02494,0.02,nc,nc72588935,2016-02-10T18:01:04.056Z,"13km SE of Mammoth Lakes, California",earthquake,0.49,0.71,0.14,11,automatic,nc,nc
2016-02-10T16:01:34.290Z,38.7994995,-122.8314972,4.71,0.54,md,6,209,0.009529,0.03,nc,nc72588925,2016-02-10T17:35:06.996Z,"6km WNW of The Geysers, California",earthquake,1.38,4.42,0.47,2,automatic,nc,nc
2016-02-10T16:00:58.970Z,33.6518333,-116.8166667,11.31,0.65,ml,25,69,0.03389,0.16,ci,ci37522528,2016-02-10T18:08:29.391Z,"13km SSE of Valle Vista, California",earthquake,0.28,0.46,0.192,9,reviewed,ci,ci
2016-02-10T15:39:05.730Z,34.062,-118.0793333,7.92,1.08,ml,16,71,0.01129,0.15,ci,ci37522504,2016-02-10T17:50:08.871Z,"2km SSW of Rosemead, California",earthquake,0.46,0.75,0.109,8,reviewed,ci,ci
2016-02-10T15:28:07.260Z,33.7203333,-116.8353333,14.11,0.59,ml,30,109,0.08088,0.19,ci,ci37522496,2016-02-10T17:40:58.817Z,"6km ESE of Valle Vista, California",earthquake,0.34,0.57,0.072,6,reviewed,ci,ci
2016-02-10T15:10:33.740Z,-20.2577,-174.5873,35,5.4,mb,,28,4.545,1.67,us,us20004zaz,2016-02-10T15:34:21.214Z,"56km SSW of Pangai, Tonga",earthquake,9.7,1.9,0.03,383,reviewed,us,us
2016-02-10T15:10:12.080Z,47.7821667,-122.5041667,26.993,1.92,ml,14,155,0.09854,0.21,uw,uw61108012,2016-02-10T15:24:14.056Z,"1km SSW of Kingston, Washington",earthquake,0.9,1.2,0.162,37,reviewed,uw,uw
2016-02-10T15:06:00.907Z,36.7175,-116.036,9.5,0,ml,15,83.48,0.042,0.1158,nn,nn00530837,2016-02-10T17:47:09.599Z,"56km N of Pahrump, Nevada",earthquake,1.01,1.1,0.17,4,reviewed,nn,nn
2016-02-10T14:52:12.590Z,33.359,-116.289,11.4,0.9,ml,43,65,0.0729,0.21,ci,ci37522480,2016-02-10T17:10:43.371Z,"14km NE of Borrego Springs, California",earthquake,0.24,0.76,0.119,18,reviewed,ci,ci
